사업장명,업태구분명,도로명주소,좌표정보(X),좌표정보(Y)
파란만잔 가락시장역점,커피숍,"서울특별시 송파구 중대로 109, 대동빌딩 1층 101호 (가락동)",210586.319949517    ,443521.245345191    
플러스82 노원점,커피숍,"서울특별시 노원구 상계로26길 20, 상가동 지상1층 102호 (상계동, 대동청솔아파트)",206216.974156757    ,461665.825847612    
로우커피스탠드 강남점,커피숍,"서울특별시 서초구 서초대로78길 28, 1층 (서초동)",202395.564943657    ,443676.870505081    
할리스 강남우리라운지점,커피숍,"서울특별시 강남구 테헤란로 301, 삼정빌딩 지상2층 (역삼동)",203744.372341385    ,444548.690712365    
할리스커피 서대문농협생명빌딩점,커피숍,"서울특별시 서대문구 통일로 87, NH농협생명빌딩 동관 1층 (미근동)",197147.394631349    ,451165.367152401    
파이브피시방,커피숍,"서울특별시 성북구 월곡로 108, 지하1층 (하월곡동)",203607.427311405    ,455469.002756202    
카페단지(CAFE DAN-JI),커피숍,"서울특별시 서초구 방배중앙로27길 26, 1층 2호 (방배동)",198549.949904163    ,443680.264022608    
오늘,커피숍,"서울특별시 서대문구 연희로 119, 1층 (연희동)",193919.084057794    ,451801.033076674    
오늘도 커피,커피숍,"서울특별시 서초구 방배로31길 8, 1층 (방배동)",199125.428902909    ,443192.564716752    
바로미카페,커피숍,"서울특별시 서초구 서초중앙로 157, 1층 (서초동)",200939.262819649    ,443867.172593905    
아린 카페,커피숍,"서울특별시 서대문구 명지대2길 11, 동산타운 1층 (홍은동)",193301.799608823    ,453280.994993124    
피자EPP 구로가산점,커피숍,"서울특별시 금천구 가산로9길 12-8, 1동 111호 (가산동)",190284.154860389    ,441702.540500531    
매머드 익스프레스 한라원앤원타워점,커피숍,"서울특별시 금천구 가산디지털2로 101, 1층 118호 (가산동)",189282.642165078    ,441654.484590816    
자영키친,커피숍,"서울특별시 용산구 우사단로10길 21-4, 1층 (이태원동)",199656.520643213    ,447908.85903974     
메가엠지씨커피 서울온수초교점,커피숍,"서울특별시 구로구 부일로 881, 1층 (온수동)",184440.220957217    ,443457.233448859    
삼성에스디에스×폴바셋(SAMSUNG SDS×PAUL BASSETT),커피숍,"서울특별시 마포구 월드컵북로60길 24, 삼성SDS 상암IT센터 1층 일부호 (상암동)",189965.528022741    ,453407.061357665    
