사업장명,업태구분명,도로명주소,좌표정보(X),좌표정보(Y)
매머드익스프레스 역삼역5번출구점,커피숍,"서울특별시 강남구 테헤란로 147, 성지하이츠 제2동 102호 (역삼동)",203070.963059952    ,444304.746740878    
스타벅스 강남아이퀘스트점,커피숍,"서울특별시 강남구 도곡로 121, 아이퀘스트 1층 (역삼동)",202904.077670254    ,443137.683095465    
매머드익스프레스 강남역효성점,커피숍,"서울특별시 강남구 강남대로84길 15, 지상1층 105호 (역삼동)",202562.731919583    ,443869.275108259    
아띠드로잉,커피숍,"서울특별시 강남구 헌릉로 569, 지상2층 203-1호 (세곡동)",208882.245870174    ,440405.743740801    
츄잉쥬스 양재점,커피숍,"서울특별시 강남구 남부순환로359길 26, 1층 (도곡동)",203135.877944735    ,442693.560044425    
메가엠지씨커피 서울언주초교점,커피숍,"서울특별시 강남구 남부순환로363길 12-29, 1층 (도곡동)",203346.936649742    ,442694.149172274    
백미당 강남역점,커피숍,"서울특별시 강남구 강남대로 402, 시계탑빌딩 지상2층,3층 (역삼동)",202388.409218153    ,444062.485291869    
레인커피 강남직영점,커피숍,"서울특별시 강남구 강남대로84길 16, 제이스타워 지상1층 103호 (역삼동)",202582.236996296    ,443830.564583536    
매머드익스프레스 대치학원가점,커피숍,"서울특별시 강남구 도곡로 501, SM TOWER 지하1층 B102호 (대치동)",205335.520814517    ,444132.845953847    
토이셔,커피숍,"서울특별시 강남구 영동대로 513, 지상1층 B002호 (삼성동, 기존컨벤션센타)",205130.591678902    ,445590.096837802    
유로스커피 로스터스 선릉점,커피숍,"서울특별시 강남구 테헤란로63길 8, 지상1층 (삼성동)",204399.988565377    ,444849.431548294    
커피에 반하다,커피숍,"서울특별시 강남구 선릉로 845, 지상1층 6호 (신사동)",203493.498593544    ,447259.651524872    
백억스카이,커피숍,"서울특별시 강남구 봉은사로38길 13, 5층, 루프탑 (역삼동)",203269.701756005    ,445023.296034459    
매머드익스프레스 논현아이파크점,커피숍,"서울특별시 강남구 언주로 615, 논현 아이파크 103동 지하1층 B122호 (논현동)",203108.361768367    ,445369.429120975    
더 앨리 무역점 2호,커피숍,"서울특별시 강남구 테헤란로 517, 현대백화점 지하1층 (삼성동)",205210.358779172    ,445154.42225208     
엑티브짐,커피숍,"서울특별시 강남구 역삼로 555, 지하1층 B102-1호 (대치동, 대치동더블유타워)",205533.757410581    ,444755.885233898    
경기떡집,떡카페,"서울특별시 강남구 도곡로 401, 롯데백화점 지하1층 (대치동)",204669.543366778    ,443873.621189048    
(주)보나비 아티제 미래와희망병원점,커피숍,"서울특별시 강남구 언주로 707, 1층 (논현동)",203026.272623345    ,446000.947269911    
디칼라주얼리카페,커피숍,"서울특별시 강남구 봉은사로 461, 지상1층 101호 (삼성동)",204357.941295584    ,445575.449339553    
그레이스케일(grey scale),커피숍,"서울특별시 강남구 강남대로102길 38, 1층 (역삼동)",202427.263880647    ,444560.326386632    
드리즐앤코(Drizzle & Co.),커피숍,"서울특별시 강남구 논현로123길 12, 지하1층, 지상1층 (논현동)",202630.038307258    ,445513.746978171    
칼마커피,커피숍,"서울특별시 강남구 강남대로66길 14, 지상1층 105호 (역삼동)",202746.040061587    ,443281.216979897    
소디스 에스프레소바 역삼,커피숍,"서울특별시 강남구 역삼로37길 11, 혜원빌딩 지상1층 (역삼동)",203717.222794726    ,444048.917126299    
채터박스(CHATTERBOX),커피숍,"서울특별시 강남구 선릉로162길 49, 지상4층 (청담동)",203873.037833077    ,447112.259960267    
서른커피,커피숍,"서울특별시 강남구 논현로168길 35, 지상1층 02호 (신사동)",202689.244933816    ,446805.474107709    
르블루,커피숍,"서울특별시 강남구 선릉로 823, 지상2층 (신사동)",203403.459602989    ,447041.856582807    
해머스미스 강남MBC점,커피숍,"서울특별시 강남구 봉은사로 161, 중앙빌딩 지상1층 101호 (논현동)",202753.94           ,444979.52           
디파지트,커피숍,"서울특별시 강남구 논현로161길 59, 지하1층 (신사동)",202013.465899401    ,446659.034615166    
홍만당 압구정점,커피숍,"서울특별시 강남구 논현로159길 47, 지하1층 101호 (신사동)",202096.176994322    ,446633.326931503    
더치앤빈역삼역점,커피숍,"서울특별시 강남구 테헤란로26길 14, 대세빌딩 1층 (역삼동)",203107.706816249    ,444116.304481868    
주식회사 디피오리,커피숍,"서울특별시 강남구 도산대로89길 23, 지상1층 (청담동)",204455.791073587    ,447089.729114819    
카페 얍,커피숍,"서울특별시 강남구 언주로 516, 1층 (역삼동)",203656.324673967    ,444730.691416921    
크래커스,커피숍,"서울특별시 강남구 삼성로95길 15, 천해빌딩 지상1층 2호 (삼성동)",204751.53617578     ,445061.193217257    
더커피 도산점,커피숍,"서울특별시 강남구 언주로168길 24, 2층 (신사동)",203074.591959089    ,447086.262827024    
브레빌 카페&스토어 신사(Breville Cafe&Store),커피숍,"서울특별시 강남구 논현로159길 41, 지상1층 (신사동)",202139.083071852    ,446662.113903452    
파란만잔,커피숍,"서울특별시 강남구 선릉로86길 15, 현대선릉 GOLD TOWER 지상1층 105호 (대치동)",204424.696602366    ,444593.605336523    
옥돌커피,커피숍,"서울특별시 강남구 영동대로85길 34, 지상1층 103호 (대치동)",205314.473810709    ,444975.112614413    
요커 (yo.kr) 삼성대치점,커피숍,"서울특별시 강남구 역삼로 452, 지상1층 107호 (대치동)",204941.049525586    ,444443.797814521    
커피일루(coffee illu),커피숍,"서울특별시 강남구 논현로75길 37, 지상1층 101호 (역삼동, 드림캐슬)",203086.69687086     ,443812.358670444    
홀리스 카페(HOLIS CAFE),커피숍,"서울특별시 강남구 논현로 820, 제이씨빌딩 지하1층 (신사동)",202458.471249225    ,446599.705908901    
타메니(Tameni),커피숍,"서울특별시 강남구 일원로3길 56, 지상1층 (일원동)",207401.9969557      ,443368.094111891    
썸띵어바웃커피,커피숍,"서울특별시 강남구 강남대로102길 30, 지하1층, 지상1층, 2층 (역삼동)",202389.007672741    ,444512.562776702    
컴포즈커피 도곡매봉점,커피숍,"서울특별시 강남구 남부순환로 2738, 상일빌딩 지상1층 103호 (도곡동)",203948.27010326     ,442641.1221884      
매머드익스프레스 역삼월드점,커피숍,"서울특별시 강남구 역삼로52길 14, 도곡프라자 지상1층 112호 (역삼동)",204170.278135097    ,444036.656041328    
멜트커피,커피숍,"서울특별시 강남구 테헤란로81길 22, 구암빌딩 1층 102호 (삼성동)",204966.435          ,445144.615          
"하나,둘(스페이스 W)",커피숍,"서울특별시 강남구 논현로 542, 금석빌딩 지상1층 102호, 지하1층 B102호 (역삼동)",203061.960408696    ,444718.703070849    
텐퍼센트 역삼센트럴점,커피숍,"서울특별시 강남구 언주로85길 32, 역삼역센트럴푸르지오 지상2층 202호 (역삼동)",203519.270921541    ,444294.842473848    
옙커피 Yeap coffee,커피숍,"서울특별시 강남구 학동로33길 4, 지상1층 (논현동)",202843.206526873    ,445871.690692327    
스타벅스 강남세곡점,커피숍,"서울특별시 강남구 헌릉로569길 18, 팜모드빌딩 지상1층 (세곡동)",208771.13           ,440573.375          
12원투 스토어,커피숍,"서울특별시 강남구 테헤란로 412, T412 지하1층 (대치동)",204461.966685485    ,444728.927637687    
카페 자이냅스,커피숍,"서울특별시 강남구 논현로 557, 지상1층 (역삼동)",202957.506876072    ,444839.875260537    
할리스커피 코엑스점,커피숍,"서울특별시 강남구 영동대로 513, 지하1층 C113호 (삼성동, 코엑스컨벤션센터)",205130.591678902    ,445590.096837802    
파스쿠찌 삼성역점,커피숍,"서울특별시 강남구 영동대로96길 8, 지상1층 (삼성동, 석광빌딩)",205517.895822632    ,445373.945575798    
고품격커피공장,커피숍,"서울특별시 강남구 도곡로4길 18, 광일빌딩 지상1층 101호 (도곡동)",202923.154358268    ,442967.242383596    
스파드 바니바니,커피숍,"서울특별시 강남구 강남대로118길 23, 지상1층 (논현동)",202157.392782963    ,444974.264668013    
사이드에이원(SIDEA 1),커피숍,"서울특별시 강남구 봉은사로 507, 우림보보카운티오피스텔 지하1층 B104호 (삼성동)",204728.553811312    ,445696.196180958    
해머스미스커피 아래역삼점,커피숍,"서울특별시 강남구 논현로 334, 1층 (역삼동)",203461.257049922    ,443650.123451632    
주식회사 한정선,떡카페,"서울특별시 강남구 테헤란로 517, 현대백화점 지하1층 일부호 (삼성동)",205210.358779172    ,445154.42225208     
요거빙빙,커피숍,"서울특별시 강남구 역삼로 204, 삼환 아르누보 지상1층 101호 (역삼동)",203453.074368546    ,443736.68579228     
누가베스트 삼성직영점,커피숍,"서울특별시 강남구 봉은사로68길 9, 누가베스트빌딩 지상1층 (삼성동)",204370.720270086    ,445460.864828846    
